year,state,corridor,county,fatalities,truck_involved,truck_tractor_involved,land_use,roadway,latitude,longitude
2024,SC,I-26,SPARTANBURG (83),5,True,False,Urban,I-26,35.05043611,-82.046216670
2024,SC,I-95,COLLETON (29),2,False,False,Urban,I-95,32.89602778,-80.708830560
2024,SC,I-26,RICHLAND (79),1,False,False,Urban,I-26,34.15454167,-81.259838890
2024,SC,I-95,ORANGEBURG (75),1,False,False,Rural,I-95 RAMP,33.31942222,-80.546927780
2024,SC,I-95,FLORENCE (41),1,False,False,Rural,I-95,34.05531111,-79.971888890
2024,SC,I-26,CHARLESTON (19),1,False,False,Urban,I-26 RAMP FROM PORT ACCESS RD,32.83405000,-79.957888890
2024,SC,I-95,DILLON (33),1,True,True,Rural,I-95,34.47930000,-79.339594440
2024,SC,I-95,COLLETON (29),1,True,False,Rural,I-95,33.00389444,-80.669372220
2024,SC,I-26,LEXINGTON (63),1,True,True,Rural,I-26,33.75965278,-80.953277780
2024,SC,I-26,SPARTANBURG (83),1,False,False,Urban,I-26,34.94046944,-82.000100000
2024,SC,I-26,ORANGEBURG (75),1,True,True,Rural,I-26,33.52405278,-80.795111110
